[ignore] Question,Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),Image Link. Must provide a valid link. ,REASON FOR FAILING / Hint
[ignore] Btw in sheets if u start with =  or + make sure to do '+ or '= or u get error. Use \n for new line. 3-103 is MATH and 104-204 is SCIENCE and 305 - 355 is ENGLISH,√,If WR is typed in A then user has to type answer,√ (if you type SQRT i will auto do it but might be harder to read),"Science, English, COMP, Other",,,"seperate multiple answers with ,",+0.1 by default,Notice: Credits are multiplied by Inflation %,By default it is 10,By default it is 30 sec. A warning is given when the time is too short (less than 20 seconds)," If nothing is specified then by default, .5 Unity, 30 Credits",0.5 by default (unity hard to earn),"You can use the KAF Uploader, which requires a LFN account, ",
"[ignore] Lets do some INFLATION!
Gr10 questions = around 10-30 credits (20 avg)
Gr11 questions = around 75 credits (50, 100)
Gr12 questions = is the bot even going to be active then",,,,,,,,,,,,,,,
what is the value of 4096^0.25,Math,4096,0.25,1024,2,8,E,0.10,20.00,10,20,30,0.1,,
Consider √2 ,Math,Rational,Irrational,Integer,Imagenary,,B,0.10,20.00,10,10,30,0.1,,
Express 7√3 as an entire radical,Math,√49+√3,√21,√147,√159,7/√3,C,0.10,20.00,10,20,30,0.1,,
What is the value of i^137,Math,1,-1,i,7/√3,Unable to determine,C,0.20,30.00,10 Cohort,20,20,0.1,,
How many of the following is an irrational number? \ni) √9 ii)√23 iii)√(500/20) iv) 100^0.25 v)100^0.5 vi) √√81 vii)√(300/9) viii)7√90 ix) 8√169,Math,WR,,,,,4,0.40,50.00,10,50,40,0.2,,
Express √124 as a mixed radical,Math,√124,4√31,2√62,2√31,,D,0.10,20.00,10,20,30,0.1,,
"Which of the following in set notation is correct for: \nx>3, x<7",Math,"x = [3,7]","(3, 7)","{x|3 < x < 7, xER}","{x|x>3, x<7}","(3, 7), xER",C,0.10,20.00,10,30,30,0.1,,
kev keeps failing his tests. in what step did the first mistake occur?\n 1. x^2 - 6x + 9\n 2. (x-3)(x-3)\n 3. (x-3)^2\n4. (x^2 - 9)\n 5. x^2 = 9\n 6. x = +-3,Math,WR,,,,,4,0.15,40.00,10,60,50,0.15,,
Which of the functions presented are considered a continous function,Math,y=x^2,"{(1,100),(100,1)}",y=x^0.5,x=y^2,,A,0.10,20.00,10,60,30,0.1,,
How many terms are in: x^3 + x^2 + 6x + 9 + (x-3),Math,,,,,,,,20.00,,60,,,,
Solve x in: x^2 - 4 = 0,Math,2,-2,+-2,4,not enough information,C,,10.00,10,20,20,0.1,,
True or false: Is the following steps correct? \n x^2 - 14 + 2 = 0\nx^2 = 16\n x = +- 4,Math,TRUE,FALSE,,,,B,,10.00,10,40,20,0.1,,"-14 + 2 = -12, not -16 "
kevin you should add an extra 5 seconds to all the time because people need time to type,Math,added reason at the right, dont have to include but u can explain y IF they got wrong,got it wrong,,,,,10.00,10,20,20,0.1,,
True or False: You don't need + or - when you square a (real) number,Math,TRUE,FALSE,,,,A,0.10,15.00,,20,10,0.1,,Squaring a real number is always positive
"A trianglular piece of land in a park is to be made in a flower-bed. Markers have been placed into the ground at the vertices of the triangle which we will call B, E, and D (D1 and D2). B, D1 and D2 lay on the same line going from west to east (D1 is east of D2 which is east of B) and E is the northernmost point on the triangle. The gardener can only locate two of the three markers at B and E. the length BE measures 7.1 m, and the gardener recalls the angle at B is 60. The side opposite to B is 6.7m. How far east should the gardener walk to look for the final marker? The gardener asks for the final answers (D1 and D2) to the nearest unit in feet.",Math,"D1=10, D2=13","D1= 6, D2= 1","D1= 20, D2= 3","D1= 7, D2= 7","D1=1, D2=14",C,1.00,150.00,20-1,180,30,0.1,,Try again if you like
The radius of a circle is 4π. What is its area in exact values?,Math,4π^3,48π,16π^2,16π^3,4π^2,D,,10.00,9,20,,,,
What are the possible values of an angle A in standard position when sin A is sqrt(3)/2?,Math,60,"40,50",240,"60,120","60,360",D,0.30,30.00,20-1/10 level trig,60,10,0.2,,Remember reference angles and CAST
"A point is placed at x= 1/2, y= sqrt(3)/2 is placed on a regular cartesian plane. What is the sine of the angle created in standard position (answer in exact value)",Math,WR,,,,, sqrt(3)/2,0.50,50.00,20-1,60,10,0.2,,Think About Special Triangles
What is 1+1,Math,WR,,,,,2,0.01,10.00,1,60,100,5,,How did you get this wrong???? 
"The sequence: 1, 2, 3, 4, 5... 101. Find sum",Math,1551,202,500,this question is INCOMPLETE and no answers are valid,505,A,0.10,20.00,20,60,20,0.15,,
"Given a sequence, 1, 4, 9, 16, 25... What is the 11th term?",Math,100,121,144,741,169,B,,,10,60,10,0.1,,
"Can a biconditional be made using the statement ""A right triangle is a triangle with a 90 degree angle""?",Math,Yes,No,There is not enough information to arrive at an answer,,,A,0.30,30.00,20-1IB,40,40,0.5,,Think about Conditionals and Converse statements
"In a right-angle triangle, angle A is 30 deg. The hypotenuse side of the triangle has a length of 2 dm. What is the length of the opposite side? Math 20 users should be able to get this within 15 seconds",Math,1 cm,0.1 m,2 dm,4 dm,4 cm,B,0.05,30.00,10,60,10,0.1,,
"The formula for Vaporize damage in RLWorld8 is (6 + 2EM)(1 + EDB/10), where EM is elemental mastery and EDB is Elemental DMG bonus. If the player can only have up to 4 stats (EM + EDB) and no criticals are applied, what stats give the best damage output? For example, a player with 2 EM and 2 EDB is (6 + 2(2))(1 + (2)/10) which is 12",Math,"2 EM, 2 EDB","4 EM, 0 EDB","1 EM, 3 EDB","3 EM, 1 EDB","0 EM, 4 EDB",B,0.15,50.00,10,60,50,0.3,,
"In the choices below, of which is a function of trigonometry?",Math,tam(),int(),sin(),col(),trig(),C,0.05,15.00,10,30,10,0.1,,
"Minjin started a new theatre business! The theatre sells only one type of ticket that costs the same for each person. On the first day, he received $1000 and got 20 customers. He expects that for every $5 increase in the ticket price, he will get 1 less customer. How much money should Minjin set each ticket price to be if he wants to generate the most revenue, based on his expectation? ",Math,1125,100,4500,5,75,E,0.15,75.00,20,120,50,0.3,,
10 to the power of 10 has how many zeros?,Math,9,10,11,2,8,B,0.05,15.00,10,30,10,0.1,,
"Ethan failed his rob on Minjin, so he decided to play crashgames and further rob Minjin in hopes that he might catch up to his previous balance (he will not). His original balance is 1000 and when counting for the start and endpoints, his balance can be modelled with the equation y = -25x + 1000, where x is every time he used some income/gambling command (so 1 crashgame is equal to 1 x). At the point where his balance is equalivent to 500, the next command, he won a rob and obtained 100 credits. If the equation before continues on, what is the average loss of credits per command at the 25th command rounded to the nearest whole number?",Math,-25 Credits per command,-27 Credits per Command,-23 Credits per command,-20 Credits per command,-21 Credits per command,D,0.20,75.00,10,120,40,0.3,,
"Ethan suddenly got super damn lucky and got top 1 on the KCServers Bot Leaderboard! Everyone tried to stop him, but they all lost money instead. The first rob gave him 1000 Credits, and then each rob after that gave 10% more than the previous. How much money did he make after people attempted to rob him 10 times, rounded to the nearest hundredth (at the end)?\nNo internet but you can use the formula Sn = n/2(t1 + tn) or Sn = (t1(r^n - 1)) / (r - 1)",Math,2000,12837.53,15937.42,2593.74,10000,C,0.10,30.00,20,180,10,0.3,,
"The KCash Exchange rate for an unknown bot is 1% of its bot supply. If the bot supply was 1 million and Kevin cashed out 10 thousand, then how much is the next person who is going to cash out 10 thousand going to get rounded to the nearest tenth",Math,how does this question even make sense lol,why did i write this question,what am i even doing,i think i should stop writing random questions,both the question and/or question is wrong,E,0.00,10.00,0,120,-10,0,,
Factor x^2 + 6x + 9\nUse a format of (x+a)(x+b) if (x+a)^n is not applicable,Math,WR,,,,,(x+3)^2,0.10,20.00,10,60,10,0.3,,
"In KCServers Bot, score is determined by many factors. In this question, assume that it is the average credits earned during the period divided by 1000 plus the amount of transactions (income commands used). If Wei's score was previously 100 and used 10 commands, what is his total credits (assuming that his only way of earning credits was transactions) after he used 3 more income commands to get a score of 110? ",Math,97000,110000,45000,,34245,A,0.10,10.00,10,120,10,0.1,,
3y + 3x = 15\n2x + 5y = 19\n x + y = ?,Math,5,6,7,4,A decimal value,,0.10,10.00,10,60,10,0.1,,
"In x * y = ?, what x and y values give the greatest number if x and y can only be integers between 0 and 10 and x + y = 10? This is NOT a trick question. By obtaining the answer, this is an example of how attack strength in the players command is calculated.",Math,"x = 10, y = 10","x = 5, y = 5","x = 10, y = 0","x = 6, y = 4",None of the above,B,0.10,30.00,9,60,10,0.1,,
Find the maximum angle of csc A  = 1.6025 if A is limited to 0 < A < 360. Round to the nearest degree,Math,WR,,,,,231,0.10,30.00,10,120,10,0.1,,
"In the picture below, triangle ABC has measurements A = 50, and a = 3 and b = 3. What is the angle of C to the nearest degree?",Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
,Math,,,,,,,,,,60,,,,
[ignore] Question: SCIENCE,Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),,REASON FOR FAILING / Hint
what is connotation,English,literal meaning of word,using annotation but in words,a notation of a word,multiple meaning of word,,,,,,60,,,,
"Kev threw his computer out the window when he betted 50% of his balance on the crashgame and lost. If the mass of the computer was 75 kg and the computer experienced a distance of 10 meters, how much work was done? (Assume there is no gravity(",Physics,750,7.5,375,750000,,A,,,,120,,,,
"Ethan threw Jason's laptop while he was playing osu!. The laptop is 30 kg with dimensions 35cm x 25cm x 1 cm. If the laptop reached a peak height of 3.0 m in the air, what is its potential energy at the maxmium height in Joules?",Physics,,,,,,,,,,120,,,,"Ep = mgh. m = 30, h = 3, g = 9.81.  Multiply all values together. Significant digits = 1"
Is it possible to obtain 100% efficiency on a machine that uses a type of friction to convert energy which has a friction of 0.0?,Physics,Yes,No,,,,A,,,,60,,,,
"A dog walks south for 3.5m. After 3.0s, the dog walks north for 10cm, then returns back to its original spot. He then proceeds to run to his owner, who is standing 3m west from the dog.\nWhat is the value of displacement + distance in meters travelled by the dog?",Physics,20,13,9.6,10,7.0,B,0.10,20.00,10,120,30,0.4,,(total distance) + displacement = (3.5 + 0.1 + 3.4 + 3) + 3 = 13
What is a lenticel?,Biology,It is a cell that moves water up and down a plant stem,It is a pore on a tree that allows the tree to exchange gasses,It is a pore on a plant that allows the plant to defend against damage from bugs,It is a cell that defends the plant during infection,It is what all cells in a plant are called,B,0.10,20.00,10,30,30,0.5,,
What is the mitochondria (choose best answer),Biology,The power generator of the cell,The power of the cell,The powerhouse of the cell,The coal power plant of the cell,,C,0.05,10.00,10,30,0,0,,What is the common phrase about the mitochondria?
How do stomata open?,Biology,"The guard cells take in ions using active transport which causes the cell to become turgid, opening the stomata","The guard cells take in ions using passive transport which causes the cell to become turgid, opening the stomata","The guard cells push out ions using passive transport which causes the cell to become flacid, opening the stomata","The guard cells push out ions using active transport which causes the cell to become flacid, opening the stomata",,A,0.10,15.00,10,30,30,0.5,,Guard cells turn turgid when stomata open
What does an auxin do?,Biology,It does nothing of use,It tells the plant when to grow,It makes root cells of the plant to elongate and the stem cells to stagnate it's growing when auxins are present,It makes stem cells of the plant to elongate and the root cells to stagnate it's growing when auxins are present,,D,0.10,15.00,10,30,30,0.5,,
"True or False: As the size of a cell increases, the surface area to volume increases",Biology,True,False,,,,B,0.10,15.00,10,30,30,0.5,,
"True or False: As the size of a cell increases, the surface area to volume decreases",Biology,True,False,,,,A,0.10,15.00,10,30,30,0.5,,
"A person walks around in a circle, completing 2 laps. The circumference of the circle is 3.14 meters. What is the person's total displacement during the lap",Physics,3.14,0,6,2,6.28,B,0.10,15.00,10,30,30,0.5,,
1,,,,,,,D,0.10,15.00,10,30,30,0.5,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,60,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
[ignore] Question: ENGLISH and social lol,Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),,REASON FOR FAILING / Hint
What is Cosmopolitan,Social,,it is in the textbook but probably not in the exam,,,,,0.10,20.00,10,30,10,0.2,,
What is a cartel,Social,A group of individuals or companies who combine forces to control the supply/pricing of a good/service,it is in the textbook but probably not in the exam so screw it,,,,A,0.00,0.01,10,30,0,0,,
What is Homogenization,Social,"A trend toward uniformity, as with world popular culture as a result of globalization",The idea that the entire world are becoming one community interconnected by technology,The uniform global popular culture that results from globalization,The complete seperation between matters of state and religion,All cultures are assimliated into a single dominant culture,A,0.10,20.00,10,30,10,0.2,,
What is Monoculture,Social,"A trend toward uniformity, as with world popular culture as a result of globalization",The idea that the entire world are becoming one community interconnected by technology,The uniform global popular culture that results from globalization,The complete seperation between matters of state and religion,All cultures are assimliated into a single dominant culture,C,0.10,20.00,10,30,10,0.2,,
What is Secularism,Social,"A trend toward uniformity, as with world popular culture as a result of globalization",The idea that the entire world are becoming one community interconnected by technology,The uniform global popular culture that results from globalization,The complete seperation between matters of state and religion,All cultures are assimliated into a single dominant culture,D,0.10,20.00,10,30,10,0.2,,
Which of the following terms matches the statement:\nThe obligation to maintain resources in a sustainable manner,Social,Stewardship,Sustainable Prosperity,Sustainable Development,Metropolises,Mercantilism,A,0.10,20.00,10,30,10,0.2,,
"Eden says the definition of a key term. What is the best key term in the following choices?\n""meeting the demands of the market while making the future people be able to do the same""",Social,Stewardship,Sustainable Prosperity,Sustainable Development,Metropolises,Mercantilism,B,0.10,20.00,10,30,10,0.2,,
What is paternalistic,Social,Characterized by treating/governing a people in a fatherly way (especially by providing for them without giving rights and responsibilities),A direct vote in which the entire electorate can vote to express the will of the people,The idea that everyone has an important role in the economy,The sale of government-owned industries and services to private businesses,An individual's opinion about a matter based on his or her personal experience,A,0.10,20.00,10,30,10,0.2,,
What is Privatization,Social,Characterized by treating/governing a people in a fatherly way (especially by providing for them without giving rights and responsibilities),A direct vote in which the entire electorate can vote to express the will of the people,The idea that everyone has an important role in the economy,The sale of government-owned industries and services to private businesses,An individual's opinion about a matter based on his or her personal experience,D,0.10,20.00,10,30,10,0.2,,
What is a point of view (POV),Social,Characterized by treating/governing a people in a fatherly way (especially by providing for them without giving rights and responsibilities),A direct vote in which the entire electorate can vote to express the will of the people,The idea that everyone has an important role in the economy,The sale of government-owned industries and services to private businesses,An individual's opinion about a matter based on his or her personal experience,E,0.10,8.00,10,30,10,0.2,,
What is a protectorate,Social,An area that maintained its own sovereignty but was guided by another country,An area that maintains its own sovereignty but needs to pay a tribute to another country,"An economic agreement in which a European country owned exclusive trade and investment rights in a region of the Americas, Asia, or Africa",A country that protects another,A country that is deemed to be independent,A,0.10,20.00,10,30,10,0.2,,
What is a sphere of influence,Social,An area that maintained its own sovereignty but was guided by another country,An area that maintains its own sovereignty but needs to pay a tribute to another country,"An economic agreement in which a European country owned exclusive trade and investment rights in a region of the Americas, Asia, or Africa",A country that protects another,A country that is deemed to be independent,C,0.10,20.00,10,30,10,0.2,,
What is standard of living,Social,A common measure of the quantity and quality of goods and services to which people have access,The conditions in people's lifes,The official living standards set by the government,A value that measures a country's living standards,A value that measures a country's general happiness and life expendency,A,0.10,20.00,10,30,10,0.2,,
What is quality of life,Social,A common measure of the quantity and quality of goods and services to which people have access,The conditions in people's lifes,The official living standards set by the government,A value that measures a country's living standards,A value that measures a country's general happiness and life expendency,B,0.10,20.00,10,30,10,0.2,,
What previous country most influences the culture Canada has today?,Social,Britain,France,United States,Spain,China 中国！！,A,0.10,20.00,10,30,10,0.2,,
Which of the following word groups is best associated with contemporary economic globalization?,Social,"Trade liberalization, universalization, and sustainability","Privatization, resource development, and imperialism","Eurocentrism, integration, and democratization","Interdependence, profits, and outsourcing",profit slaves and pollution,D,0.10,20.00,10,30,10,0.2,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
