[ignore] Question,Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),Image Link. Must provide a valid link. ,REASON FOR FAILING / Hint
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
What is PUN CONNTATION DENOOTATION OXYMORON IMAGERY METAPHOR,English LA,you ,need,to,know,this,,,,,,,,,
[ignore] Question: COMP CLASSES (307-356). Must have little to no penalties but small rewards,Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),,REASON FOR FAILING / Hint
,,,,,,,,,,,,,,,
"In Python, what does the following code snippet print? ```py\nvar = 1\nprint(var)```",COMPSCI,1,var,Syntax Error,NameError,var = 1,A,0.01,5.00,10,20,1,0,,
What does != mean in most popular programming languages? ,COMPSCI,Equals to,Must equal to or else error,Does not equal to,Deassign a variable,Assign a constant (will not change) variable,C,0.01,5.00,10,20,1,0,,
"In Python, can you do: x = (3+5)(3/4)",COMPSCI,TRUE,FALSE,,,,B,0.01,5.00,10,20,1,0,,
Ethan lost around 377% of his balance due to failing to rob minjin. Is the loss a debit or a credit (in Ethan's perspective)?,FIN,Debit,Credit,None of the Above,,,B,0.01,5.00,10,20,1,0,,
"Using BB ROYGBIV GW, what is the resistance of the resistor in the combination Brown, Black, Green, Blue. Assume +-0% error",ETECH,,,,,,,0.01,5.00,10,20,1,0,,
What is the voltage in a opposing series circuit (assume both batteries are 5V),ETECH,0,10,5,-10,-5,A,0.01,5.00,10,20,1,0,,
What is the A in PASS of a fire extingisher ,ETECH,Aim at the fire,Aim at the base of the fire,Aim in the direction where the fire is going to spread,None of the above,,B,0.01,5.00,10,20,1,0,,
ISO in a camera affects the amount of light it will receive,GRAPHIC DESIGN,True,False,,,,A,0.01,5.00,10,20,1,0,,
"If Ethan has $5000 in cash and owes Eden $3000, what is his owner's equity?",FIN,1000,0,-2000,2000,8000,D,0.01,5.00,10,20,1,0,,"Assets = Liabilties + Equity. Assets = 5000, Liabilties = 3000. 5000-3000 = 2000"
"Which of the following does not affect the amount of light a camera will receive?\nShutter Speed, Aperture, Exposure, Focus, Sunlight",GRAPHIC DESIGN,Shutter Speed,Aperture,Exposure,Focus,Sunlight,E,0.01,5.00,10,20,1,0,,
What key is a clarinet most commonly pitched in?,BAND,C,D,Ab,Bb,Eb,D,0.01,5.00,10,20,1,0,,
What notes (in pitch order) are in a C7 Chord?,MUSIC THEORY,"C, D, E, F","C, D, E, F, G, A, B","C, E, G, A","A, G, E, C","A, B, C, D",,0.01,5.00,10,20,1,0,,
What is the value 11000100001010010010101110010101 as a float? (Hint: use IEEE-754) Round to the nearest tenth,COMPSCI,WR,,,,,-676.7,0.05,20.00,idk,15,0,0,,
What will be the LAST output of the following Python3 code:\nx: int = 3\nfor i in range(x):\n    print(i * x),Comp,4,6,3,9,i * x,B,0.01,5.00,10,60,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
,,,,,,,,0.01,5.00,10,20,1,0,,
[ignore] Question: Other (u can use randint look at examples),Subject,Option A,Option B,Option C,Option D,Option E,Answer,Reward (Unity),Reward (credits),Grade Level,Time Limit,Lose reward (Credit),Lose Reward (unity),#REF!,REASON FOR FAILING / Hint
How many RLWorld versions are there prior to RLWorld8 (including RLWorld8),Minecraft / KCMC,8,9,7,10,1,B,0.05,20.00,0,60,20,0.05,,
All skill levels increase overall damage in RLWorld8,Minecraft / KCMC,False,True,True to an extent,Only for the Combat category,,A,0.05,20.00,0,60,20,0.05,,
Is the following syntax correct in Minecraft 1.20: /execute at @a ~ ~ ~ say hi,Minecraft / KCMC,False,True,True to an extent,Only for the Combat category,,A,0.05,20.00,0,60,20,0.05,,
What is the area past the End spawn called in KCSkyblock?,Minecraft / KCMC,Gateway,End Islands,Space Islands,Space,Planets,A,0.05,20.00,0,60,20,0.05,,
"The ""Phantom boss"" first appeared in which server",Minecraft / KCMC,RLWorld,KCSkyblock,KCSMP,KevChall,minjins own private server,B,0.05,20.00,0,60,20,0.05,,
What is the minimum tier requirement to mine an Enchant(ing/ment) table?,Minecraft / KCMC,Diamond,Iron,Stone,Gold,Wooden,E,0.05,20.00,0,60,20,0.05,,
Regular TNT can break enchanting tables,Minecraft / KCMC,True,False,,,,B,0.05,20.00,0,60,20,0.05,,
Which update added the Elements and Reactions update in RLWorld?,Minecraft / KCMC,3,4,5,6,7,B,0.05,20.00,0,60,20,0.05,,
Which of the following blocks have the highest blast resistance?,Minecraft / KCMC,Bedrock,Barrier,End Portal Frame,End Portal Block,Structure Block,B,0.05,20.00,0,60,0,0,,
Which of the following is NOT a flammable block,Minecraft / KCMC,Ladders,Stairs,Slabs,Vines,Flowers,A,0.05,20.00,0,60,20,0.05,,
Fastest tool to mine: BAMBOO (itself),Minecraft / KCMC,Sword,Axe,Hoe,Pickaxe,Shovel,A,0.05,20.00,0,60,20,0.05,,
Chests can catch on fire but do not burn. What is another example?,Minecraft / KCMC,Note Block,Slabs,Flowers,Fences and Fence gates,Vines,A,0.05,20.00,0,60,20,0.05,,
Fire on netherrack never burns out. What is another example that is present in all dimensions?,Minecraft / KCMC,Magma block,Bedrock,Obsidian,Barriers,Trick question: Only netherrack has this unique property without mods,A,0.05,20.00,0,60,20,0.05,,
A Potion of Posion II has a duration of?,Minecraft / KCMC,30s,15s,22s,45s,20s,C,0.05,20.00,0,60,20,0.05,,
Where do you find: Raiser Armor Trim Smithing Template ,Minecraft / KCMC,Desert temple chests,Trial Chambers,Trail Ruins,Pillager Outposts,Bastions,C,0.05,20.00,0,60,20,0.05,,
"Formula for taking anvil damage is d = (y - 1), where y = block height and y > 1, and d = damage in hearts where 0 < d <= 20. Damage is reduced by 25% if helmet is worn. \nHow much damage in hearts would you take if an anvil is dropped 12 blocks above you when you are wearing a helmet",Minecraft / KCMC,11,8.25,8.8,10,12,C,0.05,20.00,0,60,20,0.05,,
There is a 10% for an end portal frame to be filled. What is the chance to the nearest whole number for at least 1 eye of ender to be filled?,Minecraft / KCMC,71,72,38,25,10,B,0.05,20.00,20 (math),120,20,0.05,,
End portal frames when activated output a redstone signal of?,Minecraft / KCMC,They cannot have a signal; this is a trick question!,14,16,15,0,C,0.05,20.00,0,60,20,0.05,,
Gateway blocks output a redstone signal of?,Minecraft / KCMC,They cannot have a signal; this is a trick question!,15,10,16,1,A,0.05,20.00,0,60,20,0.05,,
An iron sword deals 6 damage with 1.6 ATK SPD and an iron axe deals 9 damage with 0.9 ATK SPD. Which deals more damage per second? ,Minecraft / KCMC,Sword,Axe,They are equal,,,A,0.05,20.00,0,69,20,0.05,,
Pistons can push up to ? blocks. Fill in the ?,Minecraft / KCMC,11,12,13,7,9,B,0.05,20.00,0,60,20,0.05,,
"In older versions of Minecraft, Invisible bedrock acts as a stone block that is invisible, meaning blocks cannot be placed there and mobs treat it as a wall (cannot pass through). In current versions of the game (1.20), a unknown (unobtainable) block has simliar properties to Invisible bedrock, with the exception of players being able to move through the unknown block but not the invisible bedrock. What is the unknown block?",Minecraft / KCMC,Void Air,Half Double Chest,Moving Piston,Light block,Block Entity,C,0.05,20.00,0,120,20,0.05,,
"Glowing obsidian is found in the older versions of the ? edition. It was produced as a result of the Nether Reactor Core, since this version still did not have the ? dimension.\nTake the FIRST letter capitalized of each answer to the ? and add it together. (Ex. Stop Gambling is SG) and input your answer",Minecraft / KCMC,WR,,,,,BN,0.05,20.00,0,120,4,0.01,,
"KMCExtract is what allows you to use the .shop and .kcash commands. In order to make this, what programming language was used? (Hint: what is my main programming language)",Minecraft / KCMC,MCFunction,Command blocks,Python,Java (includes Plugins),,A,0.05,20.00,0,120,4,0.01,,
KCServers Bot is originally is a:,Other,Economy Bot,Discord server montior,Minecraft server montior,KCMC Player Stats Bot + exchange into KCash,Minecraft Server hosting costing Unity,C,0.05,20.00,0,120,4,0.01,,
The economy age of the KCServers Bot was inspired by which of the following? Choose the best answer,Other,RLWorld,KMCExtract (shop systems in MC),KCGame but not directly copying,MagiBot with KCGame Features,MJG Bot Montior,D,0.05,20.00,0,120,4,0.01,,
"The main predicted reason why the bot is 90% gambling is because (choose the answer that best repersents why kev made it gambling, not by the truth)",Other,"Less inflations can happen since income gain is low without gambling. If inflation does happen, gambling can put an end to that",Gambling lowers the value of the economy which increases the amount of KCash exchanged,The rate of income must be low in order to prevent a high KCash gain for no reason. Income from gambling helps decrease the rate of income when compared to a free cash system (e.g. faucets),"As seen in the inflation rise (about like 10000x) in KCGame, the ability to gain a lot of money for no reason (e.g. faucets) cannot be allowed","Inflation can rise even quicker than KCGame, increasing the amount of money required to exchange Credits into KCash. This forces people to play the bot more in order to gain more money so they can exchange into KCash",C,0.05,20.00,0,120,4,0.01,,
The reason why Version 2 of the KCServers bot introduced ways to gain money without gambling (e.g. questions) was because (choose ANY answer. you got lucky),Other,"Everyone is using the daily command and leaving, so the daily command must give a small amount and interacting with the bot in other ways should be the main way of income","The help comand will set everyone's balance to a simliar amount (around 1k) with no other way to earn money quickly, so other ways to gain money are introduced",All of the above is correct ,,,C,0.08,30.00,0,10,-30,-0.08,,
The Minecraft Creeper was originally supposed to be a model of the ___,Minecraft / KCMC,Pig,Cow,Zombie,Spider,Player,A,0.05,20.00,0,60,20,0.05,,
,,,,,,,,,,,,,,,
How many RLWorld versions are there prior to RLWorld8 (including RLWorld8),Minecraft / KCMC,8,9,7,10,1,B,0.05,20.00,0,60,20,0.05,,
All skill levels increase overall damage in RLWorld8,Minecraft / KCMC,False,True,True to an extent,Only for the Combat category,,A,0.05,20.00,0,60,20,0.05,,
Is the following syntax correct in Minecraft 1.20: /execute at @a ~ ~ ~ say hi,Minecraft / KCMC,False,True,True to an extent,Only for the Combat category,,A,0.05,20.00,0,60,20,0.05,,
What is the area past the End spawn called in KCSkyblock?,Minecraft / KCMC,Gateway,End Islands,Space Islands,Space,Planets,A,0.05,20.00,0,60,20,0.05,,
"The ""Phantom boss"" first appeared in which server",Minecraft / KCMC,RLWorld,KCSkyblock,KCSMP,KevChall,minjins own private server,B,0.05,20.00,0,60,20,0.05,,
What is the minimum tier requirement to mine an Enchant(ing/ment) table?,Minecraft / KCMC,Diamond,Iron,Stone,Gold,Wooden,E,0.05,20.00,0,60,20,0.05,,
Regular TNT can break enchanting tables,Minecraft / KCMC,True,False,,,,B,0.05,20.00,0,60,20,0.05,,
Which update added the Elements and Reactions update in RLWorld?,Minecraft / KCMC,3,4,5,6,7,B,0.05,20.00,0,60,20,0.05,,
Which of the following blocks have the highest blast resistance?,Minecraft / KCMC,Bedrock,Barrier,End Portal Frame,End Portal Block,Structure Block,B,0.05,20.00,0,60,0,0,,
Which of the following is NOT a flammable block,Minecraft / KCMC,Ladders,Stairs,Slabs,Vines,Flowers,A,0.05,20.00,0,60,20,0.05,,
Fastest tool to mine: BAMBOO (itself),Minecraft / KCMC,Sword,Axe,Hoe,Pickaxe,Shovel,A,0.05,20.00,0,60,20,0.05,,
Chests can catch on fire but do not burn. What is another example?,Minecraft / KCMC,Note Block,Slabs,Flowers,Fences and Fence gates,Vines,A,0.05,20.00,0,60,20,0.05,,
Fire on netherrack never burns out. What is another example that is present in all dimensions?,Minecraft / KCMC,Magma block,Bedrock,Obsidian,Barriers,Trick question: Only netherrack has this unique property without mods,A,0.05,20.00,0,60,20,0.05,,
A Potion of Posion II has a duration of?,Minecraft / KCMC,30s,15s,22s,45s,20s,C,0.05,20.00,0,60,20,0.05,,
Where do you find: Raiser Armor Trim Smithing Template ,Minecraft / KCMC,Desert temple chests,Trial Chambers,Trail Ruins,Pillager Outposts,Bastions,C,0.05,20.00,0,60,20,0.05,,
"Formula for taking anvil damage is d = (y - 1), where y = block height and y > 1, and d = damage in hearts where 0 < d <= 20. Damage is reduced by 25% if helmet is worn. \nHow much damage in hearts would you take if an anvil is dropped 12 blocks above you when you are wearing a helmet",Minecraft / KCMC,11,8.25,8.8,10,12,C,0.05,20.00,0,60,20,0.05,,
There is a 10% for an end portal frame to be filled. What is the chance to the nearest whole number for at least 1 eye of ender to be filled?,Minecraft / KCMC,71,72,38,25,10,B,0.05,20.00,20 (math),120,20,0.05,,
End portal frames when activated output a redstone signal of?,Minecraft / KCMC,They cannot have a signal; this is a trick question!,14,16,15,0,C,0.05,20.00,0,60,20,0.05,,
Gateway blocks output a redstone signal of?,Minecraft / KCMC,They cannot have a signal; this is a trick question!,15,10,16,1,A,0.05,20.00,0,60,20,0.05,,
An iron sword deals 6 damage with 1.6 ATK SPD and an iron axe deals 9 damage with 0.9 ATK SPD. Which deals more damage per second? ,Minecraft / KCMC,Sword,Axe,They are equal,,,A,0.05,20.00,0,69,20,0.05,,
Pistons can push up to ? blocks. Fill in the ?,Minecraft / KCMC,11,12,13,7,9,B,0.05,20.00,0,60,20,0.05,,
"In older versions of Minecraft, Invisible bedrock acts as a stone block that is invisible, meaning blocks cannot be placed there and mobs treat it as a wall (cannot pass through). In current versions of the game (1.20), a unknown (unobtainable) block has simliar properties to Invisible bedrock, with the exception of players being able to move through the unknown block but not the invisible bedrock. What is the unknown block?",Minecraft / KCMC,Void Air,Half Double Chest,Moving Piston,Light block,Block Entity,C,0.05,20.00,0,120,20,0.05,,
"Glowing obsidian is found in the older versions of the ? edition. It was produced as a result of the Nether Reactor Core, since this version still did not have the ? dimension.\nTake the FIRST letter capitalized of each answer to the ? and add it together. (Ex. Stop Gambling is SG) and input your answer",Minecraft / KCMC,WR,,,,,BN,0.05,20.00,0,120,4,0.01,,
"KMCExtract is what allows you to use the .shop and .kcash commands. In order to make this, what programming language was used? (Hint: what is my main programming language)",Minecraft / KCMC,MCFunction,Command blocks,Python,Java (includes Plugins),,A,0.05,20.00,0,120,4,0.01,,
KCServers Bot is originally is a:,Other,Economy Bot,Discord server montior,Minecraft server montior,KCMC Player Stats Bot + exchange into KCash,Minecraft Server hosting costing Unity,C,0.05,20.00,0,120,4,0.01,,
The economy age of the KCServers Bot was inspired by which of the following? Choose the best answer,Other,RLWorld,KMCExtract (shop systems in MC),KCGame but not directly copying,MagiBot with KCGame Features,MJG Bot Montior,D,0.05,20.00,0,120,4,0.01,,
"The main predicted reason why the bot is 90% gambling is because (choose the answer that best repersents why kev made it gambling, not by the truth)",Other,"Less inflations can happen since income gain is low without gambling. If inflation does happen, gambling can put an end to that",Gambling lowers the value of the economy which increases the amount of KCash exchanged,The rate of income must be low in order to prevent a high KCash gain for no reason. Income from gambling helps decrease the rate of income when compared to a free cash system (e.g. faucets),"As seen in the inflation rise (about like 10000x) in KCGame, the ability to gain a lot of money for no reason (e.g. faucets) cannot be allowed","Inflation can rise even quicker than KCGame, increasing the amount of money required to exchange Credits into KCash. This forces people to play the bot more in order to gain more money so they can exchange into KCash",C,0.05,20.00,0,120,4,0.01,,
The reason why Version 2 of the KCServers bot introduced ways to gain money without gambling (e.g. questions) was because (choose ANY answer. you got lucky),Other,"Everyone is using the daily command and leaving, so the daily command must give a small amount and interacting with the bot in other ways should be the main way of income","The help comand will set everyone's balance to a simliar amount (around 1k) with no other way to earn money quickly, so other ways to gain money are introduced",All of the above is correct ,,,C,0.08,30.00,0,15,-30,-0.08,,
The Minecraft Creeper was originally supposed to be a model of the ___,Minecraft / KCMC,Pig,Cow,Zombie,Spider,Player,A,0.05,20.00,0,60,20,0.05,,
"TEST YOUR LUCK QUESTION:\nChoose a RANDOM multiple choice, and if you get lucky, you win the reward\nNow make sure to read the entire sentence because this is a trick question and then you realize it is not and realize that you only have 5 seconds to answer this question as it is the shortest question in the question bank ever recorded. Let's hope you get more distracted so you run out of time to answer the question by putting a secret code: Go decipher ""DRLOWLR NOIJ DX"" and read it backwards to get a secret message. Okay now idk what i should yap next so lets just write random words like bro what a  b c oh wait discord has a message limit so i gotta stop typing this i think it is 4000 characters tho is it 2k ? i forgot scam bro anyway ",Other,1,2,3,4,5,A,10.00,-10,0,5,-1,-0.01,,
"TEST YOUR LUCK QUESTION:\nChoose a RANDOM multiple choice, and if you get lucky, you win the reward\nNow make sure to read the entire sentence because this is a trick question and then you realize it is not and realize that you only have 5 seconds to answer this question as it is the shortest question in the question bank ever recorded. Let's hope you get more distracted so you run out of time to answer the question by putting a secret code: Go decipher ""DRLOWLR NOIJ DX"" and read it backwards to get a secret message. Okay now idk what i should yap next so lets just write random words like bro what a  b c oh wait discord has a message limit so i gotta stop typing this i think it is 4000 characters tho is it 2k ? i forgot scam bro anyway ",Other,1,2,3,4,5,B,10.00,-10,0,5,-1,-0.01,,
"TEST YOUR LUCK QUESTION:\nChoose a RANDOM multiple choice, and if you get lucky, you win the reward\nNow make sure to read the entire sentence because this is a trick question and then you realize it is not and realize that you only have 5 seconds to answer this question as it is the shortest question in the question bank ever recorded. Let's hope you get more distracted so you run out of time to answer the question by putting a secret code: Go decipher ""DRLOWLR NOIJ DX"" and read it backwards to get a secret message. Okay now idk what i should yap next so lets just write random words like bro what a  b c oh wait discord has a message limit so i gotta stop typing this i think it is 4000 characters tho is it 2k ? i forgot scam bro anyway ",Other,1,2,3,4,5,C,10.00,-10,0,5,-1,-0.01,,
"TEST YOUR LUCK QUESTION:\nChoose a RANDOM multiple choice, and if you get lucky, you win the reward\nNow make sure to read the entire sentence because this is a trick question and then you realize it is not and realize that you only have 5 seconds to answer this question as it is the shortest question in the question bank ever recorded. Let's hope you get more distracted so you run out of time to answer the question by putting a secret code: Go decipher ""DRLOWLR NOIJ DX"" and read it backwards to get a secret message. Okay now idk what i should yap next so lets just write random words like bro what a  b c oh wait discord has a message limit so i gotta stop typing this i think it is 4000 characters tho is it 2k ? i forgot scam bro anyway ",Other,1,2,3,4,5,D,10.00,-10,0,5,-1,-0.01,,
"TEST YOUR LUCK QUESTION:\nChoose a RANDOM multiple choice, and if you get lucky, you win the reward\nNow make sure to read the entire sentence because this is a trick question and then you realize it is not and realize that you only have 5 seconds to answer this question as it is the shortest question in the question bank ever recorded. Let's hope you get more distracted so you run out of time to answer the question by putting a secret code: Go decipher ""DRLOWLR NOIJ DX"" and read it backwards to get a secret message. Okay now idk what i should yap next so lets just write random words like bro what a  b c oh wait discord has a message limit so i gotta stop typing this i think it is 4000 characters tho is it 2k ? i forgot scam bro anyway ",Other,1,2,3,4,5,E,10.00,-10,0,5,-1,-0.01,,